imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0069704,American Graffiti,American Graffiti,1973,1974-05-31,"Comedy, Drama",110,USA,English,George Lucas,"George Lucas, Gloria Katz",Universal Pictures,"Richard Dreyfuss, Ron Howard, Paul Le Mat, Charles Martin Smith, Cindy Williams, Candy Clark, Mackenzie Phillips, Wolfman Jack, Bo Hopkins, Manuel Padilla Jr., Beau Gentry, Harrison Ford, Jim Bohan, Jana Bellan, Deby Celiz",A couple of high school grads spend one final night cruising the strip with their buddies before they go off to college.,7.4,76383,$ 777000,$ 115000000,$ 115000000,97.0,281.0,119.0
tt0041959,The Third Man,The Third Man,1949,1949-10-12,"Film-Noir, Mystery, Thriller",104,UK,"English, German, Russian",Carol Reed,"Graham Greene, Graham Greene",London Film Productions,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard, Bernard Lee, Paul Hörbiger, Ernst Deutsch, Siegfried Breuer, Erich Ponto, Wilfrid Hyde-White, Hedwig Bleibtreu","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",8.1,148705,,$ 1067364,$ 1218713,97.0,455.0,240.0
tt0097937,My Left Foot: The Story of Christy Brown,My Left Foot: The Story of Christy Brown,1989,1989-04-07,"Biography, Drama",103,"Ireland, UK",English,Jim Sheridan,"Shane Connaughton, Jim Sheridan",Ferndale Films,"Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, Declan Croghan, Eanna MacLiam, Marie Conmee, Cyril Cusack, Phelim Drew, Ruth McCabe, Fiona Shaw, Ray McAnally, Pat Laffan, Derry Power, Hugh O'Conor","Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.",7.9,62554,GBP 600000,$ 14743391,$ 14743391,97.0,99.0,48.0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1965-05-14,Comedy,95,"UK, USA","English, Russian",Stanley Kubrick,"Stanley Kubrick, Terry Southern",Columbia Pictures,"Peter Sellers, George C. Scott, Sterling Hayden, Keenan Wynn, Slim Pickens, Peter Bull, James Earl Jones, Tracy Reed, Jack Creley, Frank Berry, Robert O'Neil, Glenn Beck, Roy Stephens, Shane Rimmer, Hal Galili",An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,8.4,423973,$ 1800000,$ 9440272,$ 9443876,97.0,899.0,227.0
tt0054215,Psycho,Psycho,1960,1961-07-07,"Horror, Mystery, Thriller",109,USA,English,Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Shamley Productions,"Anthony Perkins, Vera Miles, John Gavin, Janet Leigh, Martin Balsam, John McIntire, Simon Oakland, Frank Albertson, Patricia Hitchcock, Vaughn Taylor, Lurene Tuttle, John Anderson, Mort Mills","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,555227,$ 806947,$ 32000000,$ 32000000,97.0,1190.0,231.0
tt1032846,"4 luni, 3 saptamâni si 2 zile","4 luni, 3 saptamâni si 2 zile",2007,2007-09-14,Drama,113,"Romania, Belgium",Romanian,Cristian Mungiu,Cristian Mungiu,Mobra Films,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, Luminita Gheorghiu, Adi Carauleanu, Liliana Mocanu, Tania Popa, Teodor Corban, Cerasela Iosifescu, Doru Ana, Eugenia Bosânceanu, Ion Sapdaru, Cristina Burbuz, Marioara Sterian",A woman assists her friend in arranging an illegal abortion in 1980s Romania.,7.9,52979,EUR 590000,$ 1198208,$ 9840338,97.0,184.0,198.0
tt0029843,The Adventures of Robin Hood,The Adventures of Robin Hood,1938,1939-01-13,"Action, Adventure, Romance",102,USA,English,"Michael Curtiz, William Keighley","Norman Reilly Raine, Seton I. Miller",Warner Bros.,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains, Patric Knowles, Eugene Pallette, Alan Hale, Melville Cooper, Ian Hunter, Una O'Connor, Herbert Mundin, Montagu Love, Leonard Willey, Robert Noble, Kenneth Hunter","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence, a Saxon lord fights back as the outlaw leader of a rebel guerrilla army.",7.9,44692,$ 1900000,,,97.0,264.0,104.0
tt0048021,Du rififi chez les hommes,Du rififi chez les hommes,1955,1955-04-13,"Crime, Thriller",118,France,"French, Italian, English",Jules Dassin,"Auguste Le Breton, Jules Dassin",Pathé Consortium Cinéma,"Jean Servais, Carl Möhner, Robert Manuel, Janine Darcey, Pierre Grasset, Robert Hossein, Marcel Lupovici, Dominique Maurin, Magali Noël, Marie Sabouret, Claude Sylvain, Jules Dassin, Armandel, Alain Bouvette, Alice Garan","Four men plan a technically perfect crime, but the human element intervenes...",8.2,23556,,$ 517975,$ 521342,97.0,123.0,131.0
tt0053291,Some Like It Hot,Some Like It Hot,1959,1959-08-14,"Comedy, Music, Romance",121,USA,English,Billy Wilder,"Billy Wilder, I.A.L. Diamond",Ashton Productions,"Marilyn Monroe, Tony Curtis, Jack Lemmon, George Raft, Pat O'Brien, Joe E. Brown, Nehemiah Persoff, Joan Shawlee, Billy Gray, George E. Stone, Dave Barry, Mike Mazurki, Harry Wilson, Beverly Wills, Barbara Drew","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",8.2,226563,$ 2883848,,$ 83169282,97.0,396.0,214.0
tt0101258,Ah fei zing zyun,Ah fei zing zyun,1990,1990-12-15,"Crime, Drama, Romance",94,Hong Kong,"Cantonese, Shanghainese, Tagalog, English, Mandarin",Kar-Wai Wong,"Jeffrey Lau, Kar-Wai Wong",In-Gear Film,"Leslie Cheung, Maggie Cheung, Andy Lau, Carina Lau, Rebecca Pan, Jacky Cheung, Tony Chiu-Wai Leung, Danilo Antunes, Mei-Mei Hung, Ling-Ling Hung, Tita Muñoz, Alicia Alonzo, Elena Lim So, Maritoni Fernandez, Angela Ponos",A man tries to find out who his real mother is after the woman who raised him tells him the truth.,7.6,16141,,$ 146310,$ 3101890,96.0,43.0,63.0
